tab 	specimens
aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_type	citations	geologic_classes	geologic_types	lithologies	method_codes	sample	specimen
0.35800666:0.33223015:0.30976319:-0.00566446:-0.00162781:0.00515906	0.000376933333	15	0.00139358	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as2e	as2e1
0.35870659:0.33311459:0.30817878:-0.00515056:0.00130616:0.00679767	0.000333266667	15	0.00088837	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as2e	as2e2
0.34933397:0.34440169:0.30626434:-0.00102886:0.00152818:0.01711998	0.0004084	15	0.00118902	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as2f	as2f1
0.34469131:0.34519607:0.31011263:-0.00265236:0.00143709:0.01595598	0.0003126	15	0.0013812	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as2f	as2f2
0.33294922:0.33564943:0.33140138:-0.00533521:0.00335696:0.00760978	0.000207	15	0.00080515	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3a	as3a1
0.33843949:0.33817899:0.32338148:-0.00020947:-0.00178141:0.00135121	0.000216666667	15	0.0009245	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3a	as3a2
0.33820483:0.3377558:0.32403934:-0.00059525:-0.00174375:0.00127366	0.000189533333	15	0.00069364	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3a	as3a3
0.33969876:0.33965841:0.32064283:-0.00180637:0.00534557:0.0010394	0.000202133333	15	0.00402628	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3b	as3b1
0.33569983:0.34147659:0.32282361:0.00083109:0.00515435:0.00038798	0.000209333333	15	0.00226752	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3b	as3b2
0.33669358:0.33759224:0.32571417:0.00218041:0.00134302:0.00211947	0.000125533333	15	0.00521015	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3b	as3b3
0.33873025:0.33836567:0.32290411:0.00109104:0.00154824:-0.0004876	0.000195733333	15	0.00220588	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3c	as3c1
0.33731282:0.33902717:0.32366002:0.00103064:0.00016768:-0.00079806	0.000197333333	15	0.00190944	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3c	as3c2
0.33759287:0.33830321:0.32410395:-0.00040597:0.00105278:6.708e-05	0.000141533333	15	0.00127797	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3c	as3c3
0.34114856:0.33937207:0.31947935:-0.00110861:0.00025925:-0.00134654	0.000185466667	15	0.00154491	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3d	as3d1
0.34107029:0.32664222:0.33228749:-0.0004464:0.01045345:-0.0004164	0.000188933333	15	0.0022083	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3d	as3d2
0.33966753:0.32765597:0.3326765:4.264e-05:0.01038845:0.00122087	0.000185866667	15	0.00125396	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3d	as3d3
0.33978784:0.3407141:0.31949803:-0.00118344:0.00056415:0.00349775	0.000201733333	15	0.00219278	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3e	as3e1
0.33842105:0.33376026:0.32781869:-0.00187255:0.0022676:0.00420439	0.0001954	15	0.00217275	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3e	as3e2
0.33827138:0.33604705:0.32568157:0.00149973:-0.00086203:0.00228208	0.0001892	15	0.00273253	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3e	as3e3
0.33537519:0.33225599:0.33236882:-0.00123474:0.00144038:0.00432219	0.0001718	15	0.00299186	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3f	as3f1
0.33931324:0.33790049:0.32278624:0.00023604:0.00046812:0.00049717	0.0001292	15	0.00204418	SI	AMS	This study	Sedimentary	Sediment Layer	Shallow Marine Sediments	AE-H:LP-X	as3f	as3f2
