tab 	specimens
analysts	citations	description	method_codes	sample	specimen	specimen_alternatives	volume	weight
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-LT	CNF1-1	CNF1-1a	95772		0.0001044
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF1-1	CNF1-1b	95773		0.0023238
Courtney_S	This study	oriented core from drilled 1.113 Ma 1-1 site	SP-SS-C-PMAG:LP-TRM-AFD	CNF1-1	CNF1-1c	95774		0.0089972
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-2 site	SP-SAW:LP-LT	CNF1-2	CNF1-2a	95775		0.0001709
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF1-2	CNF1-2b	95776		0.0033206
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-3 site	SP-SAW:LP-LT	CNF1-3	CNF1-3a	95778		0.0001204
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-3 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF1-3	CNF1-3b	95779		0.0027715
Courtney_S	This study	unoriented chip from Undated-4 10-1 site	SP-SAW:LP-LT	CNF10-1	CNF10-1a	95798		0.0002333
Courtney_S	This study	unoriented chip from Undated-4 10-1 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF10-1	CNF10-1b	95799		0.0042117
Courtney_S	This study	unoriented chip from Undated-4 10-2 site	SP-SAW:LP-LT	CNF10-2	CNF10-2a	95800		0.0001777
Courtney_S	This study	unoriented chip from Undated-4 10-2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF10-2	CNF10-2b	95801		0.002291
Courtney_S	This study	unoriented chip from Undated-4 10-3 site	SP-SAW:LP-LT	CNF10-3	CNF10-3a	95803		6.57E-05
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF10-3	CNF10-3b	95804		0.0051469
Courtney_S	This study	oriented core from Undated-4 10-3 site	SP-SS-C-PMAG:LP-TRM-AFD	CNF10-3	CNF10-3c	95805		0.0185686
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 2-1 site	SP-SAW:LP-LT	CNF2-1	CNF2-1a	95766		0.0001056
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF2-1	CNF2-1b	95767		0.0010338
Courtney_S	This study	oriented core from drilled 1.113 Ma 2-1 site	SP-SS-C-PMAG:LP-TRM-AFD	CNF2-1	CNF2-1c	95768		0.0090844
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-LT	CNF2-2	CNF2-2a	95769		0.0001131
Courtney_S	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF2-2	CNF2-2b	95770		0.0034671
Courtney_S	This study	unoriented chip from Undated-1 4-1 site	SP-SAW:LP-LT	CNF4-1	CNF4-1a	95787		9.26E-05
Courtney_S	This study	unoriented chip from Undated-1 4-1 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF4-1	CNF4-1b	95788		0.0016868
Courtney_S	This study	oriented core from Undated-1 4-1 site	SP-SS-C-PMAG:LP-TRM-AFD	CNF4-1	CNF4-1c	95789		0.0087221
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF5-1	CNF5-1b	95695		
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-LT	CNF5-3	CNF5-3a	95677		9.92E-05
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF5-3	CNF5-3b	95697		0.0024425
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF5-4	CNF5-4b	95698		0.001948
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-LT	CNF5-5	CNF5-5a	95679		4.70E-05
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF5-5	CNF5-5b	95699		0.003314
Courtney_S	This study	unoriented chip from drilled clinker from CNF5 0.089 Ma site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF5-6	CNF5-6b	95700		0.0034588
Courtney_S	This study	oriented core from drilled clinker from CNF5 0.089 Ma site	SP-SS-C-PMAG:LP-TRM-AFD	CNF5-6	CNF5-6c	95811		0.0093285
Courtney_S	This study	unoriented chip from drilled 0.237 Ma 6-1 site	SP-SAW:LP-LT	CNF6-1	CNF6-1a	95763		7.87E-05
Courtney_S	This study	unoriented chip from drilled 0.237 Ma 6-1 site	SP-SAW:LP-HYS	CNF6-1	CNF6-1b	95764		0.0036276
Courtney_S	This study	oriented core from drilled 0.237 Ma 6-1 site	SP-SS-C-PMAG:LP-TRM-AFD	CNF6-1	CNF6-1c	95765		0.0158065
Courtney_S	This study	unoriented chip from drilled 0.237 Ma 6-2 site	SP-SAW:LP-LT	CNF6-2	CNF6-2a	95806		0.0002431
Courtney_S	This study	unoriented chip from drilled 0.237 Ma 6-2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF6-2	CNF6-2b	95807		0.0080668
Courtney_S	This study	unoriented chip from drilled 0.237 Ma 6-3 site	SP-SAW:LP-LT	CNF6-3	CNF6-3a	95790		0.0001143
Courtney_S	This study	unoriented chip from drilled 0.237 Ma 6-3 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF6-3	CNF6-3b	95791		0.0037561
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-LT	CNF7-1	CNF7-1a	95690		0.0001044
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF7-1	CNF7-1b	95708		0.005414
Courtney_S	This study	oriented core from drilled undated clinker CNF7 site	SP-SS-C-PMAG:LP-TRM-AFD	CNF7-1	CNF7-1c	95810		0.0153838
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-LT	CNF7-2	CNF7-2a	95691		3.24E-05
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF7-2	CNF7-2b	95709		0.0032833
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-LT	CNF7-3	CNF7-3a	95692		5.92E-05
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF7-3	CNF7-3b	95710		0.0016512
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-LT	CNF7-4	CNF7-4a	95693		9.26E-05
Courtney_S	This study	unoriented chip from drilled undated clinker CNF7 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF7-4	CNF7-4b	95711		0.0018606
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-LT	CNF8-1	CNF8-1a	95683		0.0001346
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF8-1	CNF8-1b	95684		0.0029427
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-LT	CNF8-2	CNF8-2a	95685		0.0001358
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF8-2	CNF8-2b	95703		0.0033936
Courtney_S	This study	oriented core from drilled undated clinker CNF8 site (paralava)	SP-SS-C-PMAG:LP-TRM-AFD	CNF8-2	CNF8-2c	95809		0.0073792
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF8-3	CNF8-3b	95704		0.0023985
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF8-4	CNF8-4b	95705		0.0008536
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-LT	CNF8-5	CNF8-5a	95688		0.0001988
Courtney_S	This study	unoriented chip from drilled undated clinker CNF8 site (paralava)	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF8-6	CNF8-6b	95707		0.0053239
Courtney_S	This study	unoriented chip from drilled 0.217 Ma 9-1 site	SP-SAW:LP-LT	CNF9-1	CNF9-1a	95784		0.0002796
Courtney_S	This study	unoriented chip from drilled 0.217 Ma 9-1 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF9-1	CNF9-1b	95785		0.0039601
Courtney_S	This study	unoriented chip from drilled 0.217 Ma 9-2 site	SP-SAW:LP-LT	CNF9-2	CNF9-2a	95796		9.69E-05
Courtney_S	This study	unoriented chip from drilled 0.217 Ma 9-2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF9-2	CNF9-2b	95797		0.007346
Courtney_S	This study	unoriented chip from drilled 0.217 Ma 9-3 site	SP-SAW:LP-LT	CNF9-3	CNF9-3a	95793		3.55E-05
Courtney_S	This study	unoriented chip from drilled 0.217 Ma 9-3 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNF9-3	CNF9-3b	95794		0.0048992
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-LT	CNFP2-1	CNFP2-1a	95734		8.58E-05
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP2-1	CNFP2-1b	95735		0.0034912
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-LT	CNFP2-2	CNFP2-2a	95736		7.56E-05
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP2-2	CNFP2-2b	95737		0.0077618
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-LT	CNFP2-3	CNFP2-3a	95738		0.0001304
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP2-3	CNFP2-3b	95739		0.0055073
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-LT	CNFP2-4	CNFP2-4a	95740		6.45E-05
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP2-4	CNFP2-4b	95741		0.0060253
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-LT	CNFP2-5	CNFP2-5a	95742		0.0001626
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP2-5	CNFP2-5b	95743		0.0161588
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-LT	CNFP2-6	CNFP2-6a	95744		8.58E-05
Courtney_S	This study	unoriented chip from drilled 1.113 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP2-6	CNFP2-6b	95745		0.0085349
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-1	CNFP5-1a	95722		0.0001288
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-1	CNFP5-1b	95723		0.0068099
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-2	CNFP5-2a	95718		8.95E-05
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-3	CNFP5-2b	95720		0.001296
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-2	CNFP5-3a	95719		0.0002617
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-3	CNFP5-3b	95721		0.0033264
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-4	CNFP5-4a	95724		0.0001265
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-4	CNFP5-4b	95725		0.0016825
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-5	CNFP5-5a	95726		0.0002476
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-5	CNFP5-5b	95727		0.0015644
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-6	CNFP5-6a	95728		0.0002407
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-6	CNFP5-6b	95729		0.0057307
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-7	CNFP5-7a	95730		0.0003207
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-7	CNFP5-7b	95731		0.0041012
