tab 	specimens
analysts	citations	description	method_codes	sample	specimen	specimen_alternatives	volume	weight
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-LT	CNFP5-8	CNFP5-8a	95732		0.000184
Courtney_S	This study	unoriented chip from drilled 0.89 Ma P5 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP5-8	CNFP5-8b	95733		0.006647
Courtney_S	This study	unoriented chip from drilled 0.217 Ma P2 site	SP-SAW:LP-LT	CNFP8-1	CNFP8-1a	95746		0.0002479
Courtney_S	This study	unoriented chip from drilled 0.217 Ma P2 site	SP-SAW:LP-HYS:LP-IRM:LP-BCR-BF	CNFP8-1	CNFP8-1b	95747		0.0056677
Riley	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-FORC	CNF1-1	CNF1.1_FORC	103127	1.00E-05	5.58E-05
Riley	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-HYS-T	CNF1-1	CNF1.1_Hysteresis	103128	1.00E-05	4.85E-05
Riley	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-X-T	CNF1-1	CNF1.1_Kappa_Air	105139	1.00E-05	0.0002854
Riley	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-X-T	CNF1-1	CNF1.1_Kappa_Ar	105234	1.00E-05	0.0001844
Riley	This study	unoriented chip from drilled 1.113 Ma 1-1 site	SP-SAW:LP-X-T	CNF10-3	CNF10.3.Kapp.b	97026	1.00E-06	0.00020142
Riley	This study	unoriented chip from drilled 1.113 Ma 2-1 site	SP-SAW:LP-X-T	CNF10-3	CNF10.3.Kappa	97025	1.00E-06	0.00183147
Riley	This study	unoriented chip from drilled 1.113 Ma 2-1 site	SP-SAW:LP-FORC	CNF2-1	CNF2.1_FORC	103230	1.00E-05	6.04E-05
Riley	This study	unoriented chip from drilled 1.113 Ma 2-1 site	SP-SAW:LP-HYS-T	CNF2-1	CNF2.1_Hysteresis	103231	1.00E-05	5.51E-05
Riley	This study	unoriented chip from drilled 1.113 Ma 2-1 site	SP-SAW:LP-X-T	CNF2-1	CNF2.1_Kappa_Air	105157	1.00E-05	0.0002535
Riley	This study	unoriented chip from drilled 1.113 Ma 2-1 site	SP-SAW:LP-X-T	CNF2-1	CNF2.1_Kappa_Ar	105235	1.00E-05	0.0002886
Riley	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-FORC	CNF2-2	CNF2.2_FORC	103125	1.00E-05	5.00E-05
Riley	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-HYS-T	CNF2-2	CNF2.2_Hysteresis	103126	1.00E-05	2.72E-05
Riley	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-X-T	CNF2-2	CNF2.2_Kappa_air	105137	1.00E-05	0.0003022
Riley	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-X-T	CNF2-2	CNF2.2_Kappa_air_cyc	105158	1.00E-05	0.0002406
Riley	This study	unoriented chip from drilled 1.113 Ma 2-2 site	SP-SAW:LP-X-T	CNF2-2	CNF2.2_Kappa_Ar	105138	1.00E-05	0.0002461
Riley	This study	unoriented chip from drilled 0.237 Ma 6-1 site	SP-SAW:LP-X-T	CNF6-1	CNF6.1.Kapp.b	97024	1.00E-06	0.00017398
Riley	This study	unoriented chip from drilled 0.237 Ma 6-1 site	SP-SAW:LP-X-T	CNF6-1	CNF6.1.Kappa	97023	1.00E-06	0.0016762
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-1	CNFP3-1-Kapp.air	96279	1.00E-05	0.00017576
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-1	CNFP3-1-Kappa	94912	1.00E-05	0.00023272
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-10	CNFP3-10-Kapp.air	96950	1.00E-05	0.0001351
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-10	CNFP3-10-Kapp.b	95714	1.00E-05	0.0001749
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-10	CNFP3-10-Kappa	94867	1.00E-05	
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-HYS-T	CNFP3-10	CNFP3-10.hotVSM	100975	1.00E-05	0.0001
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-10	CNFP3-10a	94863	1.00E-05	0.003101
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-10	CNFP3-10b	94864	1.00E-05	0.0031185
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-10	CNFP3-10c	94865	1.00E-05	0.0023371
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-10	CNFP3-10d	94866	1.00E-05	0.0021391
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-11	CNFP3-11-Kapp.Air	95815	1.00E-05	0.0002522
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-11	CNFP3-11-Kapp.Ar.cyc	95782	1.00E-05	0.000198
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-11	CNFP3-11-Kapp.b	95715	1.00E-05	0.0002065
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-11	CNFP3-11-Kappa	94872	1.00E-05	
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-11	CNFP3-11a	94868	1.00E-05	0.0036427
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-11	CNFP3-11b	94869	1.00E-05	0.0036628
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-11	CNFP3-11c	94870	1.00E-05	0.0036431
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-11	CNFP3-11d	94871	1.00E-05	0.0033124
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-12	CNFP3-12-Kapp.750	96316	1.00E-05	0.00028307
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-12	CNFP3-12-Kapp.b	95716	1.00E-05	0.0002496
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-12	CNFP3-12-Kappa	94877	1.00E-05	0.0018029
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-HYS-T	CNFP3-12	CNFP3-12.hotVSM	100976	1.00E-05	7.54E-05
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-12	CNFP3-12a	94873	1.00E-05	0.0027173
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-12	CNFP3-12b	94874	1.00E-05	0.0030326
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-12	CNFP3-12c	94875	1.00E-05	0.0028544
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-12	CNFP3-12d	94876	1.00E-05	0.003104
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-13	CNFP3-13-Kapp.b	95717	1.00E-05	0.0002466
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-13	CNFP3-13-Kappa	94882	1.00E-05	0.0018846
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-13	CNFP3-13a	94878	1.00E-05	0.0028472
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-13	CNFP3-13b	94879	1.00E-05	0.0024385
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-13	CNFP3-13c	94880	1.00E-05	0.0025457
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-13	CNFP3-13d	94881	1.00E-05	0.003462
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-14	CNFP3-14-Kapp.b	95757	1.00E-05	0.0002121
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-14	CNFP3-14-Kappa	94887	1.00E-05	0.0013598
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-HYS-T	CNFP3-14	CNFP3-14.hotVSM	101121	1.00E-05	0.0001
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-14	CNFP3-14a	94883	1.00E-05	0.0022732
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-14	CNFP3-14b	94884	1.00E-05	0.0024839
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-14	CNFP3-14c	94885	1.00E-05	0.0030125
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-14	CNFP3-14d	94886	1.00E-05	0.0026148
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-15	CNFP3-15-Kapp.Ar.cyc	95812	1.00E-05	0.0001862
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-15	CNFP3-15-Kapp.b	95758	1.00E-05	0.0002532
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-15	CNFP3-15-Kappa	94892	1.00E-05	0.0018349
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-15	CNFP3-15a	94888	1.00E-05	0.0028943
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-15	CNFP3-15b	94889	1.00E-05	0.0031014
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-15	CNFP3-15c	94890	1.00E-05	0.0028998
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-15	CNFP3-15d	94891	1.00E-05	0.0028197
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-16	CNFP3-16-Kapp.air	96951	1.00E-05	0.0002053
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-16	CNFP3-16-Kapp.Ar.cyc	95783	1.00E-05	0.0001935
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-16	CNFP3-16-Kapp.b	95759	1.00E-05	0.0001867
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-16	CNFP3-16-Kappa	94897	1.00E-05	0.0017316
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-16	CNFP3-16a	94893	1.00E-05	0.0026499
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-16	CNFP3-16b	94894	1.00E-05	0.002433
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-16	CNFP3-16c	94895	1.00E-05	0.0030871
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-16	CNFP3-16d	94896	1.00E-05	0.0027398
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-17	CNFP3-17-Kapp.Air	95814	1.00E-05	0.0002245
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-17	CNFP3-17-Kapp.b	95760	1.00E-05	0.0002281
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-17	CNFP3-17-Kapp.c	95761	1.00E-05	0.0002858
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-17	CNFP3-17-Kappa	94902	1.00E-05	0.001942
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-17	CNFP3-17a	94898	1.00E-05	0.0026334
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-17	CNFP3-17b	94899	1.00E-05	0.0034415
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-17	CNFP3-17c	94900	1.00E-05	0.0028387
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-F:LP-ARM-AFD	CNFP3-17	CNFP3-17d	94901	1.00E-05	0.0034175
Riley	This study	unoriented chip from Undated-1 P3 site	SP-SAW:LP-X-T	CNFP3-18	CNFP3-18-Kapp.b	95762	1.00E-05	0.000153
