tab 	specimens
azimuth	description	dip	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_mr_mass	hyst_ms_mass	hyst_xhf	instrument_codes	meas_orient_phi	meas_orient_theta	meas_temp	method_codes	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	sample	specimen	volume	weight
181.3	Haliburton Highlands 8-1 VSM specimen	43																	g	HH8-3	HH8-1-r	1E-6	7.186E-5
181.3	Haliburton Highlands 8-1 X-T specimen	43																	g	HH8-3	HH8-1x	1E-6	0.00018076
181.3	Haliburton Highlands 8-3 core	43																	g	HH8-3	HH8-3b	0	0
211.7	MA1-1 core	56																	g	MA1-1	MA1-1b	0	0.0152024
222.7	MA1-2 VSM specimen	56																	g	MA1-2	MA1-2-r	1E-6	8.065E-5
222.7	MA1-2 core	56																	g	MA1-2	MA1-2b	0	0.0154706
222.7	MA1-2 X-T specimen	56																	g	MA1-2	MA1-2x	1E-6	0.00014573
215.7	MA1-3 core	49																	g	MA1-3	MA1-3b	0	0.015741
	gel cap for MPMS																		g	MA1-5-r	MA1-5-r gelcap	0	9.045E-5
226.7	Marcy anorthosite 1-5 core	56																	g	MA1-5	MA1-5b	0	0
236.7	MA1-8 core	51																	g	MA1-8	MA1-8b	0	0.0155393
211.7	MA1-OX X-T cube specimen	56																	g	MA1-1	MA1-OX-cube	1E-6	0.0117671
211.7	MA1-OX VSM specimen	56																	g	MA1-1	MA1-OX-r	1E-6	0.00011277
211.7	MA1-OX X-T specimen	56																	g	MA1-1	MA1-OX-x	1E-6	0.00020548
0	Marcy anorthosite 5-3 VSM specimen	0																	g	MA5-4	MA5-3-r	1E-6	9.037E-5
289.3	Marcy anorthosite 5-4 core	64																	g	MA5-4	MA5-4b	0	0
181.5	St Jean 1-1 core	48																	g	SJ1-1	SJ1-1b	0	0
181.5	St Jean 1-1 core	48																	g	SJ1-1	SJ1-1x	1E-6	0
189.5	SJ1-2 core	50																	g	SJ1-2	SJ1-2b	0	0.0161359
179.5	SJ1-3 VSM specimen	55																	g	SJ1-3	SJ1-3-r	1E-6	8.903E-5
179.5	SJ1-3 core	55																	g	SJ1-3	SJ1-3b	0	0.0162187
179.5	SJ1-3 X-T specimen	55																	g	SJ1-3	SJ1-3x	1E-6	8.572E-5
	gel cap for MPMS																		g	SJ1-4-r	SJ1-4-r gelcap	0	6.908E-5
174.5	SJ1-5 core	36																	g	SJ1-5	SJ1-5b	0	0.0139736
174.5	SJ1-5 X-T specimen	36																	g	SJ1-5	SJ1-5x	1E-6	6.159E-5
	gel cap for MPMS																		g	SJ5-5-r	SJ5-5-r gelcap	0	0.00014346
38.9	St Jean 5-4 core	47																	g	SJ5-5	SJ5-5b	0	0
77.6	Thanet gabbro 1-1 core	17																	g	TH1-1	TH1-1b	0	0
0	Thanet gabbro 1-2 VSM core	0																	g	TH1-1	TH1-2-r	1E-6	8.721E-5
11.6	Whitestone anorthosite 3-1 VSM specimen	69																	g	WS3-1	WS3-1-r	1E-6	9.28E-5
11.6	Whitestone anorthosite 3-1 core	69																	g	WS3-1	WS3-1b	0	0
11.6	Whitestone anorthosite 3-1 X-T specimen	69																	g	WS3-1	WS3-1x	1E-6	8.321E-5
308.7	Whitestone anorthosite 9-1 VSM core	48																	g	WS9-1	WS9-1-r	1E-6	0.00017643
308.7	Whitestone anorthosite 9-1 core	48																	g	WS9-1	WS9-1b	0	0
			IRM-VSM3-LP-HYS-239366	3.857e-1	-1.135e-2		3.054e-5	-4.339e-4	1.546e-7	IRM-VSM3	.00	.00	300.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						HH8-3	HH8-1-r		7.186e-5
			IRM-VSM3-LP-HYS-239371	3.126e-3	2.087e-4		2.624e-3	1.188e-1	2.125e-8	IRM-VSM3	.00	.00	300.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						MA1-5-r	MA1-5-r gelcap		9.045e-5
			IRM-VSM3-LP-HYS-239373	9.699e-3	1.141e-4		1.172e-1	8.299e-1	1.039e-6	IRM-VSM3	.00	.00	300.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						MA1-1	MA1-OX-r		1.128e-4
			IRM-VSM4-LP-HYS-239361	9.273e-3	-1.335e-4		1.136e-1	9.071e-1	1.014e-6	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						MA1-1	MA1-OX-r		1.128e-4
			IRM-VSM4-LP-HYS-239360	9.273e-3	-1.335e-4		1.136e-1	9.071e-1	1.014e-6	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						MA1-1	MA1-OX-r		1.128e-4
