>>>>>>>>>>
tab	specimens
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back
		A73-7-1350-4B-01a	A73-7-1350-4		0	6.676E-5				g																				Body sherds (2) - Plain						
>>>>>>>>>>
tab	samples
sample	site	azimuth	dip	lat	lon	height	description	contribution_id
A73-7-1350-4	Level 5		90				non-diagnostic - Thin is likely Late Precontact; Thicker sherd likely Middle Woodland (or large vessel)	This study
>>>>>>>>>>
tab	sites
site	location	lat	lon	elevation	description	contribution_id
Level 5	Feature 18		0		87-92 cm	This study
>>>>>>>>>>
tab	locations
location	lat_s	lon_w	lat_n	lon_e	description	contribution_id
Feature 18						This study
>>>>>>>>>>
tab	measurements
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-13	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													70.0724334716797							0.00253093090057373																							1.93323581973889E-7					0.0122469681184867												2093:06:23:05:21:02.553					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-14	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													75.1221466064453							0.00253093090057373																							1.74105528756028E-7					0.0118928156702072												2093:06:23:05:21:34.115					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-15	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													80.0325775146484							0.00253093090057373																							1.7551770956266E-7					0.0115681616857471												2093:06:23:05:22:04.492					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-16	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													85.0202713012695							0.00253093090057373																							1.63032442583389E-7					0.0112618584736777												2093:06:23:05:22:35.491					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-17	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													90.024299621582							0.00253093090057373																							1.47339699793229E-7					0.0109240744154495												2093:06:23:05:23:06.439					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-18	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													95.0994338989258							0.00253093090057373																							1.38639357893567E-7					0.0106456638826365												2093:06:23:05:23:37.274					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-19	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													100.00732421875							0.00253093090057373																							1.31100959499237E-7					0.0103659908482118												2093:06:23:05:24:06.723					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-20	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													105.055999755859							0.00253093090057373																							1.37663830568886E-7					0.0100778180376651												2093:06:23:05:24:37.446					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-21	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													110.034828186035							0.00253093090057373																							1.42693188286427E-7					0.00976431596611401												2093:06:23:05:25:07.777					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-22	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													115.032669067383							0.00253093090057373																							1.55499748148124E-7					0.00941187531270551												2093:06:23:05:25:38.458					
