field_tesla,moment_Am2_per_kg
-0.8916,-0.2628
-0.8966,-0.2637
-0.9017,-0.2645
-0.9067,-0.2653
-0.9116,-0.2661
-0.9165,-0.2669
-0.9215,-0.2677
-0.9265,-0.2686
-0.9315,-0.2694
-0.9364,-0.2703
-0.9414,-0.2712
-0.9465,-0.272
-0.9515,-0.2728
-0.9564,-0.2736
-0.9614,-0.2744
-0.9665,-0.2752
-0.9715,-0.276
-0.9764,-0.2769
-0.9814,-0.2777
-0.9865,-0.2786
-0.9989,-0.2806
-0.9989,-0.2806
-0.9976,-0.2803
-0.9946,-0.2799
-0.9906,-0.2793
-0.986,-0.2786
-0.9812,-0.2778
-0.9764,-0.2771
-0.9714,-0.2762
-0.9663,-0.2754
-0.9613,-0.2745
-0.9564,-0.2737
-0.9514,-0.2728
-0.9463,-0.272
-0.9413,-0.2711
-0.9364,-0.2703
-0.9314,-0.2695
-0.9264,-0.2687
-0.9214,-0.2678
-0.9165,-0.267
-0.9116,-0.2662
-0.9065,-0.2654
-0.9015,-0.2646
-0.8965,-0.2639
-0.8916,-0.2631
-0.8866,-0.2622
-0.8815,-0.2613
-0.8766,-0.2604
-0.8716,-0.2596
-0.8666,-0.2587
-0.8616,-0.2578
-0.8566,-0.257
-0.8517,-0.2561
-0.8466,-0.2552
-0.8416,-0.2544
-0.8366,-0.2535
-0.8317,-0.2527
-0.8268,-0.2518
-0.8217,-0.251
-0.8167,-0.2502
-0.8117,-0.2494
-0.8067,-0.2485
-0.8017,-0.2477
-0.7966,-0.2468
-0.7916,-0.246
-0.7867,-0.2451
-0.7817,-0.2442
-0.7766,-0.2434
-0.7717,-0.2425
-0.7667,-0.2418
-0.7617,-0.241
-0.7567,-0.2403
-0.7517,-0.2396
-0.7467,-0.2388
-0.7418,-0.238
-0.7368,-0.2371
-0.7318,-0.2363
-0.7268,-0.2354
-0.7219,-0.2346
-0.7168,-0.2338
-0.7118,-0.2329
-0.7068,-0.2321
-0.7019,-0.2312
-0.6968,-0.2303
-0.6918,-0.2294
-0.6868,-0.2285
-0.6819,-0.2276
-0.6768,-0.2267
-0.6718,-0.2258
-0.6668,-0.2249
-0.6619,-0.2241
-0.6569,-0.2232
-0.6519,-0.2223
-0.6469,-0.2214
-0.6419,-0.2205
-0.637,-0.2196
-0.6319,-0.2187
-0.6269,-0.2178
-0.6219,-0.2169
-0.6169,-0.2161
-0.6119,-0.2152
-0.6068,-0.2143
-0.6018,-0.2134
-0.5969,-0.2126
-0.5918,-0.2117
-0.5868,-0.2108
-0.5818,-0.21
-0.5769,-0.2091
-0.572,-0.2082
-0.5669,-0.2074
-0.5619,-0.2065
-0.5569,-0.2056
-0.552,-0.2048
-0.5469,-0.2039
-0.5419,-0.203
-0.5369,-0.2021
-0.532,-0.2012
-0.5269,-0.2003
-0.5219,-0.1994
-0.5169,-0.1985
-0.512,-0.1976
-0.5071,-0.1968
-0.502,-0.1959
-0.497,-0.195
-0.492,-0.1941
-0.4871,-0.1933
-0.482,-0.1924
-0.477,-0.1915
-0.472,-0.1906
-0.4671,-0.1897
-0.462,-0.1888
-0.457,-0.1879
-0.452,-0.187
-0.447,-0.1861
-0.442,-0.1852
-0.437,-0.1843
-0.432,-0.1834
-0.427,-0.1826
-0.4221,-0.1817
-0.4171,-0.1807
-0.412,-0.1797
-0.407,-0.1787
-0.402,-0.1778
-0.397,-0.1768
-0.3919,-0.1758
-0.3869,-0.1749
-0.382,-0.1739
-0.377,-0.173
-0.3719,-0.172
-0.367,-0.171
-0.362,-0.17
-0.357,-0.169
-0.3519,-0.1681
-0.3469,-0.1671
-0.342,-0.1661
-0.3371,-0.1651
-0.3321,-0.164
-0.327,-0.163
-0.322,-0.1619
-0.3171,-0.1608
-0.3121,-0.1598
-0.307,-0.1588
-0.302,-0.1577
-0.2971,-0.1567
-0.292,-0.1557
-0.287,-0.1546
-0.282,-0.1535
-0.2771,-0.1524
-0.272,-0.1513
-0.267,-0.1502
-0.262,-0.1491
-0.2571,-0.1479
-0.2521,-0.1468
-0.2471,-0.1456
-0.2421,-0.1444
-0.2371,-0.1431
-0.2322,-0.1418
-0.2271,-0.1405
-0.2221,-0.1392
-0.2171,-0.1378
-0.2121,-0.1365
-0.2071,-0.1351
-0.202,-0.1337
-0.197,-0.1323
-0.1921,-0.1309
-0.187,-0.1294
-0.182,-0.1279
-0.177,-0.1263
-0.172,-0.1247
-0.1671,-0.123
-0.1621,-0.1213
-0.1571,-0.1196
-0.1521,-0.1179
-0.1471,-0.1161
-0.1421,-0.1142
-0.137,-0.1123
-0.1321,-0.1103
-0.1271,-0.1082
-0.1221,-0.1061
-0.117,-0.1039
-0.112,-0.1017
-0.1071,-0.09938
-0.1021,-0.09697
-0.097,-0.09447
-0.09201,-0.0919
-0.08707,-0.08927
-0.08216,-0.08657
-0.07714,-0.08369
-0.07209,-0.08067
-0.06711,-0.07757
-0.06217,-0.07435
-0.05714,-0.07092
-0.05208,-0.06732
-0.04708,-0.0636
-0.04215,-0.05972
-0.03711,-0.05551
-0.03205,-0.05104
-0.02706,-0.04637
-0.02213,-0.04144
-0.01709,-0.03602
-0.01203,-0.03018
-0.007037,-0.02393
-0.002087,-0.0172
0.002826,-0.009979
0.00785,-0.002088
0.0129,0.006094
0.0179,0.01413
0.02284,0.02182
0.02787,0.02925
0.03292,0.03621
0.03791,0.04258
0.04284,0.04839
0.04788,0.05385
0.05293,0.05893
0.05792,0.06359
0.06286,0.06791
0.0679,0.07199
0.07295,0.07583
0.07794,0.0794
0.08288,0.08273
0.08779,0.08587
0.09281,0.08894
0.09786,0.09186
0.1028,0.09461
0.1078,0.09722
0.1128,0.09975
0.1179,0.1022
0.1229,0.1045
0.1278,0.1067
0.1329,0.1089
0.1379,0.111
0.1429,0.113
0.1478,0.115
0.1529,0.1169
0.1579,0.1187
0.1629,0.1205
0.1679,0.1222
0.1728,0.1239
0.1778,0.1255
0.1828,0.1271
0.1878,0.1286
0.1928,0.1301
0.1978,0.1317
0.2029,0.1331
0.2079,0.1346
0.2128,0.136
0.2179,0.1373
0.2229,0.1387
0.2279,0.14
0.2329,0.1413
0.2379,0.1426
0.2429,0.1438
0.2479,0.145
0.2529,0.1462
0.2578,0.1475
0.2628,0.1487
0.2678,0.1499
0.2728,0.151
0.2778,0.1522
0.2828,0.1533
0.2878,0.1545
0.2928,0.1556
0.2978,0.1566
0.3028,0.1577
0.3079,0.1588
0.3129,0.1599
0.3178,0.1609
0.3228,0.1619
0.3279,0.163
0.3329,0.164
0.3378,0.165
0.3427,0.166
0.3477,0.167
0.3528,0.168
0.3578,0.169
0.3627,0.17
0.3678,0.171
0.3728,0.172
0.3778,0.1729
0.3827,0.1739
0.3878,0.1748
0.3928,0.1758
0.3978,0.1768
0.4028,0.1777
0.4079,0.1786
0.4129,0.1796
0.4179,0.1805
0.4229,0.1814
0.4278,0.1823
0.4328,0.1833
0.4379,0.1842
0.4428,0.1851
0.4478,0.186
0.4528,0.1869
0.4579,0.1878
0.4629,0.1887
0.4678,0.1896
0.4728,0.1905
0.4779,0.1914
0.4829,0.1923
0.4878,0.1932
0.4927,0.1941
0.4977,0.195
0.5028,0.1959
0.5078,0.1968
0.5127,0.1976
0.5178,0.1985
0.5228,0.1993
0.5278,0.2001
0.5327,0.201
0.5378,0.2019
0.5428,0.2028
0.5478,0.2037
0.5528,0.2047
0.5578,0.2057
0.5629,0.2066
0.5678,0.2075
0.5728,0.2083
0.5777,0.2092
0.5827,0.21
0.5878,0.2109
0.5928,0.2117
0.5977,0.2125
0.6027,0.2134
0.6078,0.2142
0.6128,0.2151
0.6177,0.2159
0.6228,0.2169
0.6279,0.2178
0.6328,0.2186
0.6378,0.2195
0.6428,0.2203
0.6479,0.2212
0.6529,0.222
0.6578,0.2228
0.6627,0.2236
0.6677,0.2245
0.6728,0.2253
0.6778,0.2262
0.6827,0.227
0.6878,0.2278
0.6928,0.2287
0.6978,0.2295
0.7027,0.2304
0.7078,0.2312
0.7128,0.232
0.7178,0.2329
0.7228,0.2337
0.7278,0.2345
0.7328,0.2354
0.7378,0.2362
0.7428,0.2371
0.7477,0.2379
0.7527,0.2388
0.7577,0.2396
0.7627,0.2405
0.7677,0.2413
0.7727,0.2422
0.7778,0.2431
0.7827,0.2439
0.7877,0.2447
0.7927,0.2456
0.7978,0.2464
0.8028,0.2472
0.8077,0.2481
0.8128,0.249
0.8179,0.25
0.8229,0.2509
0.8278,0.2517
0.8327,0.2525
0.8377,0.2533
0.8428,0.2541
0.8478,0.2549
0.8527,0.2558
0.8578,0.2566
0.8628,0.2575
0.8678,0.2583
0.8727,0.2591
0.8778,0.2599
0.8828,0.2607
0.8878,0.2615
0.8928,0.2623
0.8978,0.2631
0.9028,0.264
0.9078,0.2648
0.9128,0.2656
0.9177,0.2664
0.9227,0.2672
0.9278,0.268
0.9327,0.2689
0.9377,0.2697
0.9427,0.2705
0.9478,0.2713
0.9528,0.2722
0.9577,0.2731
0.9627,0.274
0.9678,0.275
0.9728,0.276
0.9777,0.2768
0.9828,0.2777
0.9878,0.2786
1.0,0.2805
