tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-19810718	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.007298	0.007277	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810719	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.008016	0.007261	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810720	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.008777	0.007248	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810721	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.009587	0.007231	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810722	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01044	0.007214	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810723	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01137	0.007199	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810724	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01235	0.007177	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810725	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01339	0.007159	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810726	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01449	0.007137	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810727	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01566	0.007115	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810728	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01692	0.007086	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810729	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01825	0.00706	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810730	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.01966	0.007031	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810731	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.02116	0.007	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810732	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.02278	0.006963	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810733	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.02447	0.006928	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810734	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.02629	0.006889	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810735	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.02822	0.006845	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810736	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.03027	0.00679	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810737	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.03247	0.006755	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810738	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.03476	0.006706	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810739	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.03725	0.006654	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810740	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.03989	0.006598	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810741	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.04268	0.006539	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810742	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.04566	0.00648	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810743	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.04883	0.006418	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810744	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.0522	0.006354	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810745	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.05582	0.00629	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810746	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.05962	0.006222	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810747	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.06367	0.006154	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810748	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.06802	0.006085	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810749	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.07261	0.006014	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810750	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.07749	0.005943	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810751	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.08266	0.005867	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810752	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.08823	0.005792	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810753	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.09409	0.005715	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810754	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1003	0.005606	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810755	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1071	0.005547	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810756	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1141	0.005465	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810757	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1217	0.005378	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810758	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1297	0.005286	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810759	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1383	0.00519	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810760	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1474	0.005088	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810761	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1571	0.004985	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810762	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1673	0.004873	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810763	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1783	0.004753	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810764	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.1899	0.004628	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810765	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.2023	0.004493	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810766	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.2155	0.004347	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810767	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.2294	0.004195	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810768	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.2444	0.004025	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810769	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.2603	0.003846	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810770	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.2772	0.00365	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810771	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.295	0.003443	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810772	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.314	0.003231	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810773	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.3345	0.002988	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810774	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.356	0.002729	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810775	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.3794	0.002443	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810776	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.4038	0.002142	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810777	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.4297	0.00182	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810778	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.4575	0.001476	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810779	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.4868	0.001117	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810780	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.5181	0.0007314	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810781	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.5518	0.0003215	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810782	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.5874	-0.0001041	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810783	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.625	-0.0005405	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810784	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.665	-0.0009943	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810785	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.708	-0.00146	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810786	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.7534	-0.001934	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810787	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.8017	-0.002412	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810788	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.8534	-0.002892	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810789	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.9081	-0.003367	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810790	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.9661	-0.003839	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810791	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.028	-0.004377	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810792	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.094	-0.004827	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810793	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.164	-0.005253	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810794	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.239	-0.005658	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810795	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.318	-0.00604	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810796	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.403	-0.006398	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810797	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.492	-0.006726	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810798	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.589	-0.007029	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810799	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.689	-0.007294	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-198107100	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-1.796	-0.007522	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980731	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-2.516e-06	0.007664	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980732	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.0002505	0.007632	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980733	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.0005039	0.007617	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980734	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.0007619	0.007606	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980735	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.001024	0.007598	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980736	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.001291	0.00759	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980737	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.00156	0.007584	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980738	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.001836	0.007576	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-1980739	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.002115	0.007569	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807310	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.002399	0.007563	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807311	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.002686	0.007556	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807312	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.002979	0.007551	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807313	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.003276	0.007545	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807314	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.003579	0.00754	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807315	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.003886	0.007534	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807316	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.004199	0.007528	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807317	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.004516	0.007523	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807318	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.004838	0.007517	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807319	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.005166	0.00751	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807320	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.005498	0.007506	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807321	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.005839	0.0075	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807322	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.006181	0.007491	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807323	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.006527	0.007485	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807324	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.006884	0.00748	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807325	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.007245	0.007472	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807326	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.007611	0.007469	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807327	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.007982	0.007462	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807328	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.008357	0.007456	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807329	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.008743	0.00745	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807330	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.009133	0.007443	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807331	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.009528	0.007437	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807332	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.009933	0.00743	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807333	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.01034	0.007423	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807334	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.01076	0.007417	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807335	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.01118	0.00741	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807336	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.01161	0.007404	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
BRIC-31cIRM-VSM2-LP-BCR-BF-19807337	IRM-VSM2-LP-BCR-BF-198073	BRIC.31c	-0.01204	0.007395	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T11:19:00.000-06:00
