tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-19810628	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.01692	0.007086	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810629	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.01825	0.00706	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810630	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.01966	0.007031	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810631	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.02116	0.007	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810632	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.02278	0.006963	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810633	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.02447	0.006928	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810634	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.02629	0.006889	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810635	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.02822	0.006845	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810636	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.03027	0.00679	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810637	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.03247	0.006755	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810638	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.03476	0.006706	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810639	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.03725	0.006654	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
