MicroMag 2900/3900 Data File (Series 0015)
First-order reversal curves
Configuration   :  AGM
Hardware version:  0004
Software version:  02/01/2007
Units of measure:  Hybrid SI
Temperature in  :  Kelvin
01/26/2012  12:56
""

Averaging time = +2.000000E-01
Hb1            = -1.200000E-01
Hb2            = +6.000001E-02
Hc1            =  0.000000E+00
Hc2            = +1.200000E-01
HCal           = +1.873804E-01
HNcr           = +6.000001E-04
HSat           = +1.000000E+00
NCrv           = 513
PauseCal       = +1.000000E+00
PauseNtl       = +1.000000E+00
PauseSat       = +1.000000E+00
SlewRate       = +1.000000E+00
Smoothing      = 5

Field range    = +2.500000E-01
Moment range   = +2.000000E-06
Temperature    = N/A
Orientation    =  0.000000E+00
Elapsed time   = +3.923405E+04
Slope corr.    = N/A
Saturation     = N/A
NData          = 169740

+1.871703E-01,+2.000019E-06

+6.387373E-02,+1.683615E-06

+1.872033E-01,+2.000235E-06

+6.327869E-02,+1.679416E-06
+6.381046E-02,+1.683180E-06
+6.432288E-02,+1.687414E-06

+1.872033E-01,+2.001062E-06

+6.267622E-02,+1.674915E-06
+6.320858E-02,+1.678599E-06
+6.373754E-02,+1.682523E-06
+6.429557E-02,+1.687750E-06
+6.489502E-02,+1.691653E-06

+1.872034E-01,+2.001338E-06

+6.207454E-02,+1.671010E-06
+6.259936E-02,+1.675341E-06
+6.313705E-02,+1.678917E-06
+6.370618E-02,+1.683725E-06
+6.429197E-02,+1.688015E-06
+6.489496E-02,+1.692244E-06
+6.549957E-02,+1.697034E-06

+1.872033E-01,+2.000464E-06

+6.145969E-02,+1.665338E-06
+6.199400E-02,+1.669168E-06
+6.252334E-02,+1.673500E-06
+6.310971E-02,+1.677810E-06
+6.370318E-02,+1.682434E-06
+6.428957E-02,+1.687374E-06
+6.489513E-02,+1.691968E-06
+6.550121E-02,+1.696815E-06
+6.610222E-02,+1.701123E-06

+1.872040E-01,+2.001110E-06

+6.085153E-02,+1.660472E-06
+6.137784E-02,+1.664415E-06
+6.191545E-02,+1.669220E-06
+6.249581E-02,+1.673037E-06
+6.310329E-02,+1.678039E-06
+6.370145E-02,+1.683431E-06
+6.429010E-02,+1.688243E-06
+6.489566E-02,+1.692701E-06
+6.550259E-02,+1.697751E-06
+6.610328E-02,+1.701573E-06
+6.670764E-02,+1.705641E-06

+1.872036E-01,+2.001429E-06

+6.028893E-02,+1.655596E-06
+6.076598E-02,+1.660720E-06
+6.130121E-02,+1.665333E-06
+6.188655E-02,+1.669475E-06
+6.248956E-02,+1.674581E-06
+6.310188E-02,+1.678747E-06
+6.370057E-02,+1.683506E-06
+6.428994E-02,+1.688215E-06
+6.489572E-02,+1.692946E-06
+6.550394E-02,+1.696822E-06
+6.610401E-02,+1.701973E-06
+6.670850E-02,+1.705224E-06
+6.730464E-02,+1.710090E-06

+1.872048E-01,+2.001009E-06

+5.971237E-02,+1.650227E-06
+6.019142E-02,+1.655285E-06
+6.069537E-02,+1.659282E-06
+6.127520E-02,+1.664306E-06
+6.188157E-02,+1.668709E-06
+6.248630E-02,+1.673641E-06
+6.310190E-02,+1.677521E-06
+6.370186E-02,+1.682638E-06
+6.429007E-02,+1.687895E-06
+6.489627E-02,+1.693319E-06
+6.550383E-02,+1.696771E-06
+6.610430E-02,+1.701665E-06
+6.670843E-02,+1.706047E-06
+6.730570E-02,+1.710801E-06
+6.789609E-02,+1.714873E-06

+1.872032E-01,+2.000795E-06

+5.910988E-02,+1.645837E-06
+5.960376E-02,+1.649532E-06
+6.011624E-02,+1.654106E-06
+6.066811E-02,+1.659200E-06
+6.126824E-02,+1.664349E-06
+6.187815E-02,+1.669077E-06
+6.248751E-02,+1.672766E-06
+6.310346E-02,+1.677741E-06
+6.370154E-02,+1.683286E-06
+6.429252E-02,+1.687604E-06
+6.489740E-02,+1.691959E-06
+6.550470E-02,+1.697030E-06
+6.610595E-02,+1.701043E-06
+6.670937E-02,+1.706303E-06
+6.730599E-02,+1.709983E-06
+6.789621E-02,+1.715442E-06
