Bapp [mT],M [Am2/kg]
3.353897,0.010807268
3.817713,0.010797272
4.311564,0.010787794
4.838242,0.010776689
5.395,0.010765974
5.99038,0.010755636
6.625153,0.010744728
7.298603,0.010732395
8.016121,0.010718732
8.777198,0.010706123
9.587177,0.010688943
10.44286,0.010674395
11.36532,0.010657579
12.34843,0.010640158
13.38677,0.01061836
14.48562,0.0105975
15.65807,0.010572868
16.91391,0.010550272
18.24928,0.010522548
19.65552,0.01049589
21.16445,0.010462965
22.77461,0.010430522
24.47278,0.010394645
26.28885,0.010354127
28.22124,0.010313996
30.27202,0.010262272
32.46341,0.010224127
34.76348,0.010176079
37.25326,0.010124509
39.88986,0.010070943
42.68,0.010014895
45.65461,0.009957096
48.83231,0.009895575
52.19856,0.009836193
55.81295,0.009773105
59.61993,0.009708491
63.67142,0.009644531
68.02084,0.009575294
72.6083,0.00950711
77.48824,0.009436175
82.66022,0.009364316
88.2272,0.009287662
94.08412,0.00921057
100.3431,0.009104009
107.0777,0.009033956
114.1123,0.008944254
121.7282,0.008846412
129.6591,0.008742697
138.2941,0.008628697
147.39,0.008508982
157.0538,0.008379228
167.3109,0.008237768
178.2999,0.008081803
189.8612,0.007914667
202.3294,0.007727241
215.4934,0.007524083
229.4024,0.007303461
244.3435,0.007060035
260.316,0.00678868
277.1669,0.006491605
295.0087,0.006165627
313.9741,0.00583686
334.5007,0.005441732
355.9756,0.005012544
379.421,0.004533202
403.7702,0.004021024
429.7841,0.003470469
457.5841,0.00287581
486.8979,0.002242507
518.1385,0.001571912
551.8415,0.000859254
587.4345,0.000118674
625.0387,-0.000643654
665.0554,-0.001420446
707.9946,-0.002217373
753.3585,-0.003010817
801.711,-0.003800185
853.4031,-0.004583061
908.0759,-0.005339833
966.0905,-0.006064899
1027.877,-0.006876947
1093.9,-0.007530193
1164.07,-0.008138715
1238.949,-0.008697566
1317.958,-0.00920461
1402.776,-0.00967986
1492.085,-0.010098382
1588.448,-0.010475759
1688.963,-0.010800487
1796.306,-0.011064829
