"","component 1","component 2"
"Bh",2.53076939210477,2.83268809708498
"Bh.sd",0.112935839555607,0.00479711431402233
"DP",0.730661092336585,0.26240755653537
"DP.sd",0.0662322364475728,0.00421793914339799
"P",0.124041495082353,0.898724862913877
"P.sd",0.0180649842917442,0.0241034550287805
"S",1.08167844444886,0.906562219520661
"S.sd",0.132289017860172,0.0133888046580339
"OC.mean",0.250082071333397,0.749918454921487
"OC.sd",0.0954258743115889,0.0818744321144532
"EC.mean",0.275627565412521,0.724373683069726
"EC.sd",0.137891085273116,0.0477980784518061
