Bapp [mT],M [Am2/kg]
3.353818,0.007496155
3.817532,0.007487416
4.311466,0.007480123
4.838202,0.007469572
5.394979,0.007462165
5.990043,0.007453166
6.625075,0.007443254
7.298738,0.007431786
8.016456,0.007420498
8.77721,0.007410251
9.587174,0.007399065
10.44306,0.007383563
11.36561,0.007370401
12.34855,0.007355732
13.38758,0.007341019
14.48602,0.007324127
15.65836,0.007303946
16.91397,0.007288567
18.24984,0.007265348
19.65591,0.007241574
21.16488,0.007216839
22.77507,0.007191292
24.47314,0.007162429
26.28973,0.007132363
28.22165,0.0070981
30.27376,0.007055736
32.46649,0.007029687
34.76444,0.00699261
37.25452,0.006951627
39.89067,0.006907875
42.6816,0.006862235
45.6561,0.006814912
48.83341,0.006769934
52.2006,0.006719295
55.81539,0.006666966
59.62312,0.006614727
63.6737,0.006561336
68.02359,0.006505106
72.61111,0.006448787
77.49082,0.006390053
82.66163,0.006331089
88.22926,0.00626828
94.0866,0.006204797
100.3479,0.006117451
107.0853,0.00606373
114.1186,0.005990913
121.7325,0.005912778
129.6654,0.005834127
138.2993,0.005746208
147.3964,0.005654083
157.0591,0.005552945
167.317,0.005446552
178.3058,0.005328651
189.8699,0.00520235
202.3392,0.005065476
215.5011,0.004914832
229.408,0.004750675
244.3523,0.004571918
260.3202,0.004373026
277.1698,0.004158004
295.0146,0.003922974
313.9745,0.003687287
334.4763,0.003409791
355.9534,0.003107106
379.3748,0.002777778
403.7674,0.002426126
429.7167,0.002051009
457.5103,0.001650604
486.8192,0.00122869
518.0593,0.000785666
551.7646,0.000310483
587.3632,-0.000176549
624.9777,-0.000673475
665.0099,-0.001181167
707.9621,-0.001698751
753.3512,-0.002218999
801.7209,-0.0027344
853.4188,-0.003246112
908.0965,-0.003739668
966.1202,-0.004216075
1027.928,-0.004753929
1093.972,-0.005188761
1164.142,-0.005596759
1239.018,-0.005972641
1318.026,-0.006319568
1402.842,-0.006640282
1492.154,-0.006925913
1588.513,-0.007185481
1689.059,-0.007407478
1796.396,-0.007590935
