Bapp [mT],M [Am2/kg]
3.353475,0.012594469
3.817525,0.012584084
4.311362,0.012574469
4.837961,0.012562313
5.394852,0.01255043
5.98984,0.012538117
6.624965,0.012525683
7.298192,0.012511933
8.016001,0.012497758
8.776621,0.012483097
9.5869,0.012467318
10.44233,0.012450653
11.36471,0.0124329
12.34766,0.012413249
13.38636,0.012390962
14.48523,0.012370698
15.65738,0.012345916
16.91333,0.012321635
18.24894,0.012294752
19.65458,0.012266326
21.16366,0.012233381
22.77379,0.012199251
24.47211,0.012162621
26.28836,0.012123983
28.22028,0.012080734
30.27077,0.012027986
32.46199,0.011991867
34.76142,0.011943578
37.25177,0.011889651
39.8878,0.011833117
42.67823,0.011775405
45.65351,0.011713284
48.83068,0.01164707
52.19706,0.011579787
55.81121,0.011513016
59.61826,0.011439211
63.66976,0.011364271
68.01856,0.01128711
72.60724,0.011206341
77.48699,0.011125046
82.65746,0.011038553
88.22467,0.010949408
94.08128,0.01085752
100.3412,0.010729059
107.0769,0.010646549
114.111,0.010540688
121.7254,0.010423608
129.6556,0.010300481
138.2911,0.010164231
147.3868,0.01002042
157.0499,0.009862282
167.3069,0.009693866
178.2971,0.009508416
189.8611,0.009305445
202.3246,0.009081756
215.4881,0.008833877
229.4013,0.008565435
244.3428,0.008265476
260.3129,0.007935025
277.1638,0.007566422
295.0057,0.007162642
313.9734,0.006759494
334.4915,0.006271898
355.9773,0.005746382
379.4185,0.005160557
403.7748,0.004537995
429.7788,0.003868327
457.5862,0.003146588
486.8961,0.002383191
518.1358,0.001578689
551.8511,0.000728136
587.4252,-0.00015491
625.038,-0.001050595
665.0586,-0.001964071
707.9944,-0.002888114
753.3695,-0.00381165
801.7074,-0.004720013
853.398,-0.005617601
908.0699,-0.006480592
966.0845,-0.007311366
1027.881,-0.008238416
1093.906,-0.008975025
1164.077,-0.009657293
1238.944,-0.010294291
1317.94,-0.010872232
1402.774,-0.011399939
1492.076,-0.011870663
1588.432,-0.012289342
1688.948,-0.012646225
1796.279,-0.012935496
