"","component 1","component 2"
"Bh",2.38071129476657,2.84476618699987
"Bh.sd",0.111133076504747,0.00626370907624838
"DP",0.688773331794784,0.270795342361182
"DP.sd",0.0645417135736641,0.00468309275345528
"P",0.142509488677883,0.893451187746464
"P.sd",0.0203355836102154,0.0309821952585599
"S",0.990013739841941,0.893957904474301
"S.sd",0.17755941479284,0.0155206577590566
"OC.mean",0.276299383434603,0.723704321060125
"OC.sd",0.10890511488883,0.0982026213199431
"EC.mean",0.287806068538891,0.712199430139362
"EC.sd",0.142354442972791,0.0781448337869654
